County,Year,healthcare,income,smoking,copd_age
Barbour,2018,23901.0,36500.0,23.0,11.8
Barbour,2019,24001.0,37300.0,23.0,10.4
Barbour,2020,23601.0,39800.0,23.0,10.7
Barbour,2021,23601.0,39700.0,27.0,10.7
Berkeley,2018,21901.0,57000.0,23.0,9.6
Berkeley,2019,22301.0,59100.0,23.0,8.2
Berkeley,2020,22501.0,59600.0,22.0,8.3
Berkeley,2021,23401.0,63000.0,25.0,8.3
Boone,2018,29201.0,36300.0,25.0,13.1
Boone,2019,25401.0,38600.0,25.0,11.3
Boone,2020,27901.0,38100.0,25.0,11.2
Boone,2021,27401.0,43700.0,28.0,10.6
Braxton,2018,18001.0,36600.0,22.0,12.6
Braxton,2019,20701.0,37800.0,22.0,11.0
Braxton,2020,23701.0,39300.0,23.0,11.7
Braxton,2021,23501.0,39700.0,29.0,11.8
Brooke,2018,46701.0,46000.0,19.0,9.9
Brooke,2019,57401.0,50800.0,19.0,8.7
Brooke,2020,44901.0,48300.0,20.0,8.8
Brooke,2021,44401.0,50900.0,24.0,8.5
Cabell,2018,6101.0,39500.0,22.0,11.0
Cabell,2019,6001.0,38200.0,22.0,9.6
Cabell,2020,6301.0,39800.0,24.0,10.4
Cabell,2021,5901.0,42100.0,26.0,10.0
Calhoun,2018,24901.0,33800.0,23.0,12.7
Calhoun,2019,24501.0,33500.0,23.0,11.4
Calhoun,2020,24401.0,36400.0,24.0,11.8
Calhoun,2021,24201.0,37300.0,29.0,12.4
Clay,2018,90071.0,33700.0,24.0,13.8
Clay,2019,88601.0,34300.0,24.0,12.1
Clay,2020,87601.0,36000.0,24.0,12.9
Clay,2021,86301.0,41900.0,31.0,12.0
Doddridge,2018,40901.0,40500.0,23.0,10.7
Doddridge,2019,42101.0,44400.0,23.0,9.5
Doddridge,2020,42801.0,44700.0,21.0,10.4
Doddridge,2021,84101.0,50600.0,26.0,9.9
Fayette,2018,20501.0,38800.0,27.0,12.2
Fayette,2019,21101.0,38100.0,27.0,10.6
Fayette,2020,22901.0,37900.0,25.0,11.3
Fayette,2021,21501.0,41400.0,29.0,10.7
Gilmer,2018,21301.0,35300.0,26.0,11.1
Gilmer,2019,27501.0,35400.0,26.0,9.1
Gilmer,2020,26701.0,38200.0,26.0,9.5
Gilmer,2021,26801.0,40400.0,27.0,9.3
Grant,2018,16801.0,38500.0,21.0,11.6
Grant,2019,19601.0,41000.0,21.0,10.1
Grant,2020,19501.0,42100.0,22.0,10.4
Grant,2021,19401.0,47400.0,27.0,9.9
Greenbrier,2018,7601.0,38800.0,23.0,11.3
Greenbrier,2019,7301.0,37900.0,23.0,9.9
Greenbrier,2020,7801.0,37700.0,23.0,10.4
Greenbrier,2021,7601.0,43600.0,26.0,10.3
Hampshire,2018,46701.0,45200.0,22.0,11.9
Hampshire,2019,46601.0,47600.0,22.0,9.8
Hampshire,2020,39101.0,44400.0,22.0,9.6
Hampshire,2021,33401.0,54800.0,28.0,9.8
Hancock,2018,14901.0,44900.0,21.0,10.5
Hancock,2019,17401.0,44600.0,21.0,9.2
Hancock,2020,18401.0,47300.0,22.0,9.6
Hancock,2021,17101.0,51000.0,25.0,8.9
Hardy,2018,34601.0,40200.0,20.0,10.9
Hardy,2019,46301.0,44300.0,20.0,9.5
Hardy,2020,68601.0,43600.0,22.0,10.3
Hardy,2021,68901.0,46700.0,27.0,10.2
Harrison,2018,8701.0,46500.0,20.0,10.0
Harrison,2019,8701.0,51700.0,20.0,8.9
Harrison,2020,8701.0,47900.0,23.0,9.3
Harrison,2021,8801.0,53900.0,24.0,9.1
Jackson,2018,29201.0,43500.0,23.0,10.6
Jackson,2019,32401.0,45200.0,23.0,9.4
Jackson,2020,32201.0,48700.0,21.0,9.9
Jackson,2021,28701.0,50800.0,27.0,10.1
Jefferson,2018,18801.0,71300.0,19.0,8.6
Jefferson,2019,18801.0,70200.0,19.0,7.1
Jefferson,2020,17101.0,75000.0,20.0,7.3
Jefferson,2021,18901.0,75200.0,21.0,7.3
Kanawha,2018,7701.0,45000.0,21.0,10.2
Kanawha,2019,7401.0,43600.0,21.0,8.8
Kanawha,2020,7601.0,41900.0,21.0,9.0
Kanawha,2021,7301.0,48300.0,25.0,9.0
Lewis,2018,15001.0,36800.0,21.0,11.6
Lewis,2019,13601.0,41900.0,21.0,10.4
Lewis,2020,13501.0,40700.0,23.0,10.4
Lewis,2021,14601.0,46900.0,27.0,10.2
Lincoln,2018,30601.0,32500.0,24.0,13.3
Lincoln,2019,30301.0,36100.0,24.0,11.5
Lincoln,2020,23101.0,39800.0,24.0,12.2
Lincoln,2021,25701.0,43200.0,31.0,12.0
Logan,2018,21701.0,35700.0,22.0,13.4
Logan,2019,24101.0,34900.0,22.0,12.1
Logan,2020,20601.0,34900.0,25.0,12.8
Logan,2021,21701.0,38500.0,29.0,12.6
Marion,2018,17301.0,45700.0,26.0,10.6
Marion,2019,17701.0,46500.0,26.0,9.3
Marion,2020,18801.0,46200.0,23.0,9.4
Marion,2021,20001.0,51300.0,25.0,8.9
Marshall,2018,26601.0,42400.0,22.0,10.5
Marshall,2019,26501.0,41500.0,22.0,9.1
Marshall,2020,24001.0,50100.0,22.0,9.6
Marshall,2021,28001.0,53100.0,26.0,9.1
Mason,2018,18001.0,42200.0,24.0,11.8
Mason,2019,17901.0,40300.0,24.0,10.1
Mason,2020,19101.0,43100.0,24.0,10.3
Mason,2021,22301.0,47800.0,28.0,10.6
McDowell,2018,19801.0,24500.0,28.0,16.1
McDowell,2019,21301.0,26500.0,28.0,14.7
McDowell,2020,36901.0,27300.0,30.0,15.2
